,,,,Беларусь,,Брестская,Витебская,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
"ГОРОХ, ФАСОЛЬ",,,,3065.320363,,2494.02,2315.84,2592.25,,2643.04,,3604.0,,4217.0,,2484.28
МЮСЛИ И ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП,,,,9003.824328,,8375.76,9619.18,7718.08,,9289.84,,9851.0,,8127.0,,8399.52
"МАКАРОНЫ, РОЖКИ",,,,2974.2141509999997,,3153.88,2977.51,2860.59,,2889.16,,2912.0,,3111.0,,3065.2
"ВЕРМИШЕЛЬ, ЛАПША",,,,3092.037829,,3109.34,2883.49,2837.27,,2871.0,,3300.0,,3111.0,,3111.84
ВОДКА ,,,,13714.707260000001,,13686.68,13522.55,13820.0,,13280.0,,13820.0,,13760.0,,13820.0
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,21853.359128999997,,18837.14,14524.62,13669.99,,22752.16,,27290.0,,23363.0,,22920.0
КОНЬЯК,,,,55188.135673000004,,53270.0,66655.75,45563.53,,46751.2,,58092.0,,53934.0,,55326.48
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,16095.394317,,12748.42,16877.38,13092.99,,12619.16,,19845.0,,15310.0,,13877.04
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,17901.580436,,12312.98,14336.26,12283.38,,12921.8,,24931.0,,14856.0,,18890.48
ПИВО,,,,2965.943015,,2765.84,2801.91,2774.39,,3177.92,,3185.0,,2754.0,,2898.88
ВИНО ИГРИСТОЕ  (ШАМПАНСКОЕ),,,,14591.576025999999,,14513.72,13728.24,13920.94,,13869.0,,15378.0,,15107.0,,13983.28
ВАФЛИ,,,,8428.394466,,8495.7,8576.74,8239.52,,8443.28,,8559.0,,8233.0,,8185.28
ПРЯНИКИ,,,,6044.244198000001,,5791.56,5514.13,5957.14,,5437.6,,6225.0,,6361.0,,6614.24
ПЕЧЕНЬЕ ,,,,6600.868042,,6293.42,6634.07,6119.64,,6616.48,,6719.0,,7119.0,,6531.6
ТОРТ,,,,14860.787811,,14133.7,15029.79,16567.37,,14304.08,,14923.0,,13093.0,,15426.12
ПИРОЖНЫЕ (зза 1 шт. весом 100 г),,,,1296.928084,,1325.54,1255.98,1312.1,,1286.0,,1327.0,,1344.0,,1157.92
ИРИС,,,,7068.443794000001,,6716.3,6910.37,7296.04,,6624.96,,7252.0,,7283.0,,6893.52
" КОНФЕТЫ ""КАРАМЕЛЬ""",,,,6254.899780000001,,6056.86,6896.67,5437.58,,5778.64,,5884.0,,7716.0,,6874.56
КОНФЕТЫ ГЛАЗИРОВАННЫЕ ШОКОЛАДНОЙ ГЛАЗУРЬЮ,,,,14569.175543999998,,13624.12,15069.99,13983.16,,15186.64,,14183.0,,15098.0,,15864.0
"КОНФЕТЫ ГЛАЗИРОВАННЫЕ ЖИРОВОЙ   ГЛАЗУРЬЮ (типа ""Лимонные"", ""Осенние"")",,,,7446.84607,,7414.7,7670.69,7728.56,,7236.08,,7257.0,,7675.0,,7459.68
ШОКОЛАД,,,,25452.146475999998,,25052.7,23259.68,24871.58,,26574.96,,25830.0,,26095.0,,26121.12
ХАЛВА,,,,8096.682923,,7684.64,7491.1,7081.07,,7199.84,,9102.0,,7718.0,,8314.8
МАРМЕЛАД,,,,6472.2606000000005,,6138.82,6917.05,6380.14,,6363.04,,6680.0,,6198.0,,6125.44
ЗЕФИР,,,,7887.283829000001,,8691.66,7512.5,6759.27,,8004.48,,7968.0,,7992.0,,8389.92
КАКАО - ПОРОШОК (за 200 г),,,,3951.858462,,3013.06,3251.27,4561.4,,2868.04,,4782.0,,2861.0,,4294.84
КАРТОФЕЛЬ,,,,870.646512,,726.76,841.52,908.92,,692.16,,1002.0,,842.0,,758.88
ЧИПСЫ  КАРТОФЕЛЬНЫЕ (за 100 г),,,,2616.4172489999996,,2970.14,2845.32,2216.43,,2758.2,,2596.0,,2425.0,,2629.2
КАПУСТА  БЕЛОКОЧАННАЯ  СВЕЖАЯ,,,,1653.7320949999998,,1936.08,1887.22,1619.75,,1107.96,,1565.0,,976.0,,2614.24
ЛУК РЕПЧАТЫЙ,,,,1224.0669409999998,,1270.96,1140.56,1096.85,,1227.92,,1429.0,,1291.0,,682.0
СВЕКЛА,,,,1013.9912070000001,,893.92,887.24,978.63,,709.08,,1292.0,,841.0,,855.76
МОРКОВЬ,,,,1390.3615580000003,,1245.3,1359.63,1239.0,,1035.76,,1795.0,,1199.0,,940.36
ПОМИДОРЫ СВЕЖИЕ,,,,6077.960648,,5716.64,6018.94,6152.24,,6750.48,,6052.0,,6492.0,,5488.32
ОГУРЦЫ СВЕЖИЕ,,,,4306.195882,,3567.88,5029.99,4435.58,,4949.68,,4000.0,,4117.0,,4721.68
ЧЕСНОК,,,,5845.972112000001,,5960.74,5382.19,6058.94,,5943.04,,6230.0,,5521.0,,4976.56
ПЕРЕЦ СЛАДКИЙ,,,,9419.619377,,9513.02,10371.73,9423.63,,9959.2,,8406.0,,9527.0,,10992.96
ОВОЩИ ЗАМОРОЖЕННЫЕ,,,,10302.247553000001,,9658.24,10801.8,9368.01,,9824.28,,11200.0,,10409.0,,8912.96
ОВОЩИ КОНСЕРВИРОВАННЫЕ,,,,5282.621131999999,,3662.04,4714.03,4484.96,,3298.08,,6574.0,,5601.0,,5726.24
СОУС ТОМАТНЫЙ,,,,5111.51571,,5095.5,5019.39,4871.2,,4897.12,,4863.0,,6186.0,,5424.24
ЯБЛОКИ,,,,3724.7619880000007,,3223.66,4233.45,3554.78,,3753.8,,3854.0,,3547.0,,3608.24
"ЦИТРУСОВЫЕ ПЛОДЫ (апельсины, лимоны, мандарины)",,,,4777.003628,,4856.78,4363.02,4703.82,,5300.2,,4780.0,,5114.0,,4430.32
ВИНОГРАД,,,,11147.572045,,10441.5,10789.34,11010.63,,10975.2,,11576.0,,11526.0,,10791.2
БАНАНЫ,,,,4373.934795,,4309.36,4283.35,4441.15,,4604.4,,4251.0,,4531.0,,4496.72
СУХОФРУКТЫ,,,,11811.762225999999,,9875.02,11045.66,10576.68,,11678.0,,12652.0,,12131.0,,13176.16
ОРЕХИ,,,,16040.258437999997,,11024.8,13114.5,14941.18,,10328.2,,20356.0,,15176.0,,17512.32
ФРУКТЫ КОНСЕРВИРОВАННЫЕ,,,,7546.298159000001,,6771.98,8552.64,7685.37,,8355.6,,7153.0,,7814.0,,7343.08
КОНСЕРВЫ  ФРУКТОВЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО  ПИТАНИЯ,,,,7635.75423,,6764.34,7137.96,6715.0,,6493.08,,8675.0,,7856.0,,7575.72
"СОК, НЕКТАР ФРУКТОВЫЙ,  ЯГОДНЫЙ",,,,3575.752549,,3252.32,3439.73,3315.89,,3275.04,,4069.0,,3191.0,,3416.96
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ ,,,,1528.1761880000001,,1400.38,1245.24,1345.5,,1856.64,,1729.0,,1544.0,,1232.96
ВОДА МИНЕРАЛЬНАЯ ,,,,906.677586,,910.08,980.95,888.58,,949.92,,897.0,,838.0,,906.68
"ОБЕД В СТОЛОВОЙ (для 1 человека, из 4-х блюд)",,,,3525.846176,,3569.84,4343.86,3360.0,,3046.32,,3566.0,,2959.0,,3645.08
"ОБЕД В РЕСТОРАНЕ (заказной,  для 1 человека,                                           из  4-х блюд) ",,,,12281.535433999998,,13806.5,14871.81,17710.88,,9616.52,,9754.0,,7118.0,,17137.28
"КОФЕ В ОРГАНИЗАЦИЯХ  БЫСТРОГО ОБСЛУЖИВАНИЯ              (за  0,2л)",,,,4728.26703,,1920.3,1974.01,2472.16,,1692.84,,9749.0,,1788.0,,2647.08
"СОК   В ОРГАНИЗАЦИЯХ  БЫСТРОГО ОБСЛУЖИВАНИЯ                (за  0,2л)",,,,1199.3684460000002,,874.88,790.96,988.14,,775.36,,1836.0,,775.0,,965.2
