,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,г. Минск,Минская,,Могилевская
"СВИТЕР, ДЖЕМПЕР ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ ЖЕНСКИЙ",,,,77005.92235000001,,73072.98,,73647.29,77082.2,,59851.81,106961.0,75410.0,,54275.04
КОСТЮМ СПОРТИВНЫЙ ЖЕНСКИЙ,,,,213204.40624999997,,179269.36,,179515.89,153292.98,,137276.8,325029.0,265767.0,,191659.0
БЮСТГАЛЬТЕР ,,,,56651.229753999985,,52656.44,,51492.6,54992.58,,55379.49,68491.0,60162.0,,46549.68
ТРУСЫ  ИЗ ХЛОПЧАТОБУМАЖНОГО ТРИКОТАЖНОГО ПОЛОТНА ЖЕНСКИЕ,,,,15032.302806,,11744.02,,11659.64,14353.4,,16033.9,18442.0,18123.0,,13206.56
ШАПКА  МЕХОВАЯ ЖЕНСКАЯ,,,,833696.3298139999,,626976.0,,527400.0,732954.1,,304285.58,1105267.0,1171170.0,,1199309.6
ПЛАЩ ЖЕНСКИЙ,,,,307350.096046,,312493.42,,260452.65,315411.88,,252352.25,286581.0,352863.0,,372502.8
РУБАШКА ЖЕНСКАЯ НОЧНАЯ,,,,44222.75171,,37346.1,,43646.8,37817.08,,41352.93,58277.0,42782.0,,43186.2
"ПЛАТОК, ШАРФ ЖЕНСКИЙ",,,,62013.990892,,24842.98,,74267.15,29665.54,,49548.7,150096.0,31031.0,,42937.12
ШЛЯПА ЖЕНСКАЯ,,,,98811.03809399999,,82172.24,,86299.91,84494.62,0.0,78132.26,183914.0,63160.0,,76671.88
ШУБА (полушубок) ИЗ ИСКУССТВЕННОГО МЕХА ЖЕНСКИЙ,,,,352361.25998781977,,504000.0,,343952.2,365065.6,,252042.65,,,,249165.0
КОМПЛЕКТ БЕЛЬЯ ЖЕНСКОГО,,,,68843.3784,,45331.08,,79260.61,54789.6,,54461.42,102332.0,70641.0,,61231.24
КУПАЛЬНЫЙ КОСТЮМ ЖЕНСКИЙ,,,,125087.55767,,103374.72,,97083.46,114292.9,,127498.11,199137.0,111220.0,,89888.08
КОЛГОТКИ ЖЕНСКИЕ,,,,15768.218863999999,,15262.14,,13153.51,14036.14,,14641.57,23688.0,14624.0,,10925.92
БРЮКИ ЖЕНСКИЕ,,,,154759.744532,,132433.54,,143564.62,139258.26,,142413.89,212882.0,150115.0,,136850.48
КУРТКА  ЗИМНЯЯ И  ДЕМИСЕЗОННАЯ  ДЛЯ МАЛЬЧИКА ,,,,276866.61431599996,,214521.26,,365746.98,279068.54,,208006.34,338571.0,188080.0,,332960.44
КУРТКА  ДЕМИСЕЗОННАЯ  ДЛЯ ДЕВОЧКИ,,,,216302.066436,,164974.98,,192887.79,221176.86,,189199.03,230000.0,260028.0,,248651.28
ПАЛЬТО  ЗИМНЕЕ И ДЕМИСЕЗОННОЕ ДЛЯ ДЕВОЧКИ    ,,,,340012.7328848642,,215142.04,,304153.43,384345.88,,309774.97,421433.0,,,374704.16
НОСКИ  ИЗ ХЛОПЧАТОБУМАЖНОЙ И СМЕСОВОЙ ПРЯЖИ ДЕТСКИЕ,,,,4980.229182,,4171.32,,4162.89,4210.26,,5277.49,6067.0,5845.0,,4709.12
БРЮКИ ДЕТСКИЕ,,,,74149.002586,,65200.68,,60914.13,66606.62,,66894.21,109548.0,65242.0,,69646.48
КОСТЮМ ШКОЛЬНЫЙ ,,,,194388.78835000005,,195369.34,,225778.12,176433.16,,178081.26,186858.0,192952.0,,211949.24
КОСТЮМ СПОРТИВНЫЙ ДЕТСКИЙ,,,,124075.104214,,102779.94,,141564.08,99609.56,,105446.11,159266.0,141735.0,,100065.68
"ДЖЕМПЕР,CВИТЕР  ИЗ ПОЛУШЕРСТЯНОЙ ПРЯЖИ ДЕТСКИЙ",,,,78181.970506,,56909.76,,58966.67,57770.06,,80117.16,121637.0,85358.0,,69704.12
СОРОЧКА ВЕРХНЯЯ   ИЗ ХЛОПЧАТОБУМАЖНОЙ ИЛИ СМЕСОВОЙ ТКАНИ ДЛЯ МАЛЬЧИКА,,,,48285.14315,,48174.96,,52546.67,46197.1,,51255.09,46010.0,48892.0,,46506.48
ЮБКА  ИЗ СМЕСОВЫХ ТКАНЕЙ ИЛИ ТРИКОТАЖНОГО ПОЛОТНА  ДЕТСКАЯ,,,,62055.39354600001,,50145.88,,70365.22,54119.66,,60701.7,82440.0,53544.0,,56551.76
ПЛАТЬЕ  ИЗ ХЛОПЧАТОБУМАЖНОЙ ТКАНИ ДЕТСКОЕ,,,,71075.85371,,63309.34,,68805.95,48830.04,,43647.79,111898.0,83000.0,,55660.8
"КОСТЮМ, КОМПЛЕКТ (юбка, брюки, жакет) ДЛЯ ДЕВОЧКИ",,,,169393.82647399997,,171417.88,,202465.66,162278.58,,173204.72,149774.0,162161.0,,177588.68
ДЖИНСЫ ДЕТСКИЕ,,,,105417.41234200001,,72961.52,,79170.41,91276.86,,112939.19,139494.0,119508.0,,112208.56
БЕЛЬЕ  ДЛЯ  НОВОРОЖДЕННЫХ  И  ДЕТЕЙ  ЯСЕЛЬНОГО  ВОЗРАСТА,,,,18622.344552000002,,19450.7,,21858.87,9325.78,,23611.82,17136.0,24177.0,,16555.64
КОМПЛЕКТ БЕЛЬЯ ДЕТСКОГО,,,,19311.037848,,16723.48,,26543.01,16059.44,,20431.49,21188.0,16553.0,,18104.16
ШАПОЧКА ТРИКОТАЖНАЯ ДЕТСКАЯ,,,,33301.940468,,25143.64,,37236.92,30091.44,,31122.32,35484.0,32262.0,,43368.96
КОЛГОТКИ ДЕТСКИЕ,,,,16464.685594,,14868.6,,15319.59,13171.58,,17609.96,18966.0,19572.0,,14772.28
ПИЖАМА ДЕТСКАЯ,,,,37530.599874,,35538.14,,38939.2,34121.68,,36620.09,40759.0,37003.0,,39140.48
"ПОЛУБОТИНКИ, ТУФЛИ  КОЖАНЫЕ МУЖСКИЕ",,,,281993.38915600005,,267643.34,,309466.82,243113.22,,272213.75,345132.0,271504.0,,237811.8
САПОГИ НА МЕХУ  МУЖСКИЕ,,,,444040.185324,,389494.3,,490136.03,401162.66,,347292.01,570951.0,401955.0,,454735.68
ОБУВЬ  ДОМАШНЯЯ  МУЖСКАЯ ,,,,43313.428888,,37373.14,,34099.88,38587.9,,45011.45,71078.0,30285.0,,36139.0
КРОССОВЫЕ ТУФЛИ МУЖСКИЕ,,,,194242.912228,,184828.46,,149996.83,191587.98,,177360.09,258163.0,185562.0,,180015.96
"БОСОНОЖКИ, САНДАЛЕТЫ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕНОЙ КОЖИ  МУЖСКИЕ",,,,166773.52465200002,,144558.0,,208468.17,138720.0,,130300.85,228057.0,159212.0,,127855.2
РЕЗИНОВАЯ ОБУВЬ,,,,67526.14193999999,,58635.22,,58797.31,69318.62,,62642.87,72923.0,81517.0,,63905.12
САПОГИ  ЗИМНИЕ  НА НИЗКОМ КАБЛУКЕ ЖЕНСКИЕ,,,,676324.501098,,541280.0,,793566.32,713720.74,,542939.73,752692.0,616340.0,,748372.12
САПОГИ  ДЕМИСЕЗОННЫЕ  НА ВЫСОКОМ КАБЛУКЕ ЖЕНСКИЕ,,,,605843.150482,,661105.3,,575652.75,563027.68,,476362.1,585994.0,668353.0,,704325.48
"ТУФЛИ   КОЖАНЫЕ НА НИЗКОМ КАБЛУКЕ, НА СИНТЕТИЧЕСКОЙ ПОДОШВЕ ЖЕНСКИЕ",,,,211936.13731400002,,213270.96,,206499.48,213012.82,,209284.85,228746.0,219944.0,,178880.16
ТУФЛИ  МОДЕЛЬНЫЕ ЖЕНСКИЕ,,,,261091.989234,,292712.68,,216865.89,205783.34,,214305.13,357928.0,247482.0,,244036.24
ТУФЛИ   ЛЕТНИЕ КОЖАНЫЕ ЖЕНСКИЕ,,,,186822.91666599998,,187767.68,,165260.07,151345.02,,180152.3,245626.0,171237.0,,184604.6
ОБУВЬ  ДОМАШНЯЯ ЖЕНСКАЯ ,,,,44171.687216,,37181.58,,35373.91,36700.18,,43709.76,64885.0,40140.0,,43757.48
ТУФЛИ  ИЗ ИСКУССТВЕННОЙ КОЖИ ЖЕНСКИЕ ,,,,127748.13504600001,,148154.46,,122347.5,131441.88,,104265.48,150389.0,120955.0,,96623.28
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ  ДЛЯ МАЛЬЧИКА,,,,262330.383244,,312216.92,,267895.32,249072.0,,210898.73,289658.0,219430.0,,269861.64
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ  ДЛЯ ДЕВОЧКИ,,,,318491.124796,,312058.0,,638000.0,248045.08,,273684.77,341735.0,181075.0,,243446.52
"БОТИНКИ, ТУФЛИ КОЖАНЫЕ ДЕМИСЕЗОННЫЕ ДЛЯ МАЛЬЧИКА",,,,154700.19335800002,,162164.72,,177972.68,137324.1,,146650.52,126561.0,176022.0,,169282.52
ТУФЛИ ЛЕТНИЕ ДЕВИЧЬИ,,,,110307.038642,,92943.1,,113027.19,84145.68,,108281.09,133587.0,128731.0,,102868.8
КРОССОВЫЕ ТУФЛИ ДЕТСКИЕ,,,,91867.40998,,69656.36,,68101.64,84330.96,,101758.62,134624.0,82326.0,,87862.84
СТОЛ ПИСЬМЕННЫЙ,,,,536004.743408,,473649.7,,590000.3,686736.18,,348001.29,575725.0,525157.0,,488074.3
ШКАФ ДЛЯ ОДЕЖДЫ  И  БЕЛЬЯ,,,,1535653.657982,,1617068.6,,1566101.9,1295420.66,,1205143.36,1496332.0,1774480.0,,1792828.56
СТУЛ,,,,222539.21367000003,,197674.68,,212233.25,242318.1,,228232.71,227445.0,246469.0,,195012.56
НАБОР МЕБЕЛИ ДЛЯ СПАЛЬНИ,,,,6579516.810486,,6433580.66,,5217070.38,5640035.5600000005,,4875417.04,9993412.0,6549455.0,,5509655.12
НАБОР МЯГКОЙ МЕБЕЛИ,,,,5131008.955634,,5637488.86,,5103834.3,4432561.2,,5854463.81,4746860.0,5632248.0,,4718354.48
НАБОР КОРПУСНОЙ МЕБЕЛИ ,,,,4209529.8059640005,,4078467.78,,3957279.65,4378573.02,,2970347.36,5191317.0,4668553.0,,3406297.16
ДИВАН-КРОВАТЬ,,,,2870005.0743360003,,2672888.3,,2309881.18,2379396.46,,2237700.56,3778554.0,2893458.0,,3461159.04
 ГАРНИТУР КУХОННЫЙ,,,,3258408.903592,,3430708.96,,3195425.43,2925925.12,,3158803.54,2914721.0,3761007.0,,3568186.24
ГАРНИТУР ДЛЯ ПРИХОЖЕЙ,,,,1900878.894036,,1987897.94,,1683531.93,1737128.02,,1389072.72,2262813.0,2124302.0,,1852484.04
КОВЕР ИЗ  ШЕРСТЯНОЙ И СИНТЕТИЧЕСКОЙ ПРЯЖИ       (за 1 м2),,,,94751.76612724923,,71241.84,,98505.84,86052.94,,89092.72,113315.0,,,106445.8
КОВЕР ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ (за 1 м2)  ,,,,103365.113182,,96132.04,,65590.56,65645.14,,67999.51,205255.0,66195.0,,116581.2
ДОРОЖКА КОВРОВАЯ (за 1 м2),,,,66013.594696,,62091.08,,64521.18,60579.96,,54062.09,84173.0,60735.0,,67929.92
КОМПЛЕКТ БЕЛЬЯ ПОСТЕЛЬНОГО ,,,,165679.29761399998,,149259.94,,200452.53,145053.44,,158734.76,183563.0,165995.0,,151094.0
ОДЕЯЛО ПОЛУШЕРСТЯНОЕ,,,,147068.573196,,121113.18,,126055.92,129300.3,,96718.09,236990.0,138033.0,,137341.76
ОДЕЯЛО ВАТНОЕ,,,,139860.625746,,125412.74,,140830.98,133033.12,,104665.62,165786.0,152827.0,,140324.24
ПОКРЫВАЛО ,,,,141056.522114,,112525.6,,131124.07,102676.62,,86270.77,255791.0,141744.0,,99334.16
СКАТЕРТЬ,,,,40646.481618,,30981.36,,44286.47,40912.98,,30570.69,50550.0,37084.0,,46436.04
ПОЛОТНО ГАРДИННОЕ ТЮЛЕВОЕ ИЗ СИНТЕТИЧЕСКИХ НИТЕЙ,,,,34097.08101,,27637.22,,31543.75,22051.48,,34064.61,54683.0,27359.0,,35312.68
ПОЛОТЕНЦЕ МАХРОВОЕ БАННОЕ ,,,,79662.823676,,53614.3,,79877.5,73632.42,,59643.26,99443.0,99869.0,,80834.92
ТАРЕЛКА,,,,8666.453583999999,,4213.64,,4580.0,5266.08,,6998.24,24040.0,4673.0,,4442.88
"СЕРВИЗ ЧАЙНЫЙ, КОФЕЙНЫЙ",,,,89494.5088,,73879.22,,97775.18,65517.06,,74410.83,99028.0,127340.0,,81323.48
ВАЗА,,,,72785.96379800001,,57184.86,,139070.39,67003.84,,52756.27,78538.0,47965.0,,68010.6
КАСТРЮЛЯ,,,,108188.665786,,117038.38,,90468.78,108257.92,,102751.77,127849.0,98471.0,,101629.64
ХОЛОДИЛЬНИК,,,,3760002.745602,,4303139.4,,3946155.63,3274649.46,,3063160.51,3428888.0,3905773.0,,4543359.72
ЛАМПА ЭЛЕКТРИЧЕСКАЯ,,,,3354.947646,,1439.22,,2391.02,6700.44,,4212.61,4625.0,1710.0,,1651.24
МАШИНА СТИРАЛЬНАЯ,,,,2673295.388132,,2957071.98,,2767545.68,2318270.26,,2713801.96,2711705.0,2661529.0,,2582544.12
ПЫЛЕСОС НАПОЛЬНЫЙ,,,,684439.4364499999,,685314.54,,668406.35,621353.2,,772472.58,688734.0,743514.0,,614251.88
УТЮГ  ЭЛЕКТРИЧЕСКИЙ,,,,198547.5652,,211249.86,,158937.96,178737.98,,188295.62,235162.0,232395.0,,157484.16
КОМБАЙН КУХОННЫЙ,,,,614740.196624,,746313.12,,596106.06,500683.96,,584353.36,549706.0,677195.0,,675266.04
ЛЮСТРА ЭЛЕКТРИЧЕСКАЯ,,,,254676.032536,,192652.2,,198396.05,167166.32,,150918.25,547796.0,210283.0,,179575.56
ЧАЙНИК ЭЛЕКТРИЧЕСКИЙ,,,,185489.198146,,163874.26,,166642.14,141646.48,,151325.84,261521.0,202070.0,,176296.92
СОКОВЫЖИМАЛКА ЭЛЕКТРИЧЕСКАЯ,,,,388672.26652999996,,355694.34,,356253.72,416542.12,,329692.43,451564.0,383862.0,,389030.8
ПЕЧЬ МИКРОВОЛНОВАЯ,,,,655683.875084,,514150.42,,585094.34,639298.5,,638381.14,763571.0,721140.0,,688557.64
ПЛИТА  БЫТОВАЯ ЭЛЕКТРИЧЕСКАЯ,,,,2487126.957192,,3078675.78,,2585525.6,2205954.78,,2408118.12,2643647.0,2618830.0,,1632591.6
РАДИАТОР БЫТОВОЙ ЭЛЕКТРИЧЕСКИЙ,,,,522765.16439600004,,447123.76,,722367.45,497251.8,,346952.1,711127.0,387765.0,,459850.68
ДРЕЛЬ ЭЛЕКТРИЧЕСКАЯ,,,,472251.46529799997,,282248.24,,376131.86,437064.18,,382610.77,617037.0,645267.0,,489747.4
ТЕЛЕВИЗОР ЦВЕТНОГО ИЗОБРАЖЕНИЯ,,,,2113096.058564,,3174285.3,,1226535.94,1997657.98,,2174024.61,2271670.0,1760428.0,,2036033.08
МУЗЫКАЛЬНЫЙ ЦЕНТР,,,,1294431.657448,,971341.0,,1217432.12,1018523.08,,1234265.61,1743921.0,1406633.0,,1316170.76
DVD-ПЛЕЕР,,,,435947.95109999995,,435993.92,,374519.0,379127.2,,420935.65,501716.0,466037.0,,444950.2
КОМПАКТ-ДИСК (без записи),,,,4991.117532,,4791.76,,4128.63,3913.76,,4265.65,8605.0,4164.0,,3350.36
КИРПИЧ СТРОИТЕЛЬНЫЙ (за 1тыс. шт),,,,1146820.764464,,1111951.54,,1299469.25,1388332.5,,901820.28,1053951.0,1231403.0,,987680.4
ОБОИ (за рулон 10 м),,,,36682.852117999995,,26476.48,,23975.57,22718.46,,26851.14,74838.0,35184.0,,29921.36
ПИЛОМАТЕРИАЛЫ ХВОЙНЫЕ ОБРЕЗНЫЕ И НЕОБРЕЗНЫЕ (за 1 м3 ) ,,,,802128.970674,,654838.76,,919878.0,610984.18,,686284.83,1073569.0,558218.0,,1084409.72
ПЛИТКА КЕРАМИЧЕСКАЯ (за1  м2),,,,59985.852634,,53459.0,,47462.77,52213.62,,51355.69,89405.0,52506.0,,61421.28
ЦЕМЕНТ (за 50 кг),,,,48357.605708,,47328.78,,60825.28,50873.62,,38221.47,48800.0,47700.0,,42372.0
ШИФЕР (за 10 условных штук),,,,33949.481068,,29840.62,,34491.93,35015.98,,29162.92,39426.0,35841.0,,30225.74
ЛИНОЛЕУМ (за 1 м2),,,,70145.488268,,57223.88,,63245.15,48590.0,,72768.53,104159.0,60647.0,,75480.72
СТЕКЛО ОКОННОЕ (за 1 м2),,,,47294.689443999996,,49004.12,,58377.56,44514.84,,40775.05,57078.0,38733.0,,37375.0
СЧЕТЧИК УЧЕТА ПОТРЕБЛЕНИЯ ВОДЫ,,,,175854.668242,,224734.94,,107186.21,177705.6,,121927.4,190593.0,205873.0,,177123.68
"ПАНЕЛИ ДЛЯ ОТДЕЛКИ ПОТОЛКА, СТЕН ИЗ ПВХ  (за 1 м2)",,,,50608.49647,,47745.94,,41834.23,45921.52,,49634.43,50925.0,65425.0,,51485.12
ОКОННЫЙ БЛОК ДВУХСТВОРЧАТЫЙ (размер 130х140см) СО СТЕКЛОПАКЕТОМ,,,,2002635.043086,,1941736.9,,1766068.19,1900832.6,,1842220.81,2626219.0,1859938.0,,1775881.12
ДВЕРНОЙ БЛОК С ДВЕРЬЮ (размер 210х70 см                  или 210х80 см),,,,851596.876146,,813417.92,,681392.75,763398.34,,733645.63,1252829.0,929523.0,,548389.52
ЛАМИНАТ (за 1 м2),,,,113664.79418999999,,107155.7,,98108.71,111668.32,,92615.77,140416.0,118076.0,,112073.12
СУМКА ИЗ ИСКУССТВЕННОЙ КОЖИ,,,,165890.551764,,144735.62,,149142.71,132055.54,,137339.38,262640.0,148943.0,,143844.08
СУМКА ИЗ НАТУРАЛЬНОЙ КОЖИ,,,,420900.006988,,348151.64,,313142.79,379147.92,,319778.2,718600.0,382200.0,,339515.4
ПЕРЧАТКИ ИЗ НАТУРАЛЬНОЙ КОЖИ,,,,113876.126532,,107357.06,,92371.18,112997.02,,96683.94,171280.0,93330.0,,94686.44
РЕМЕНЬ ПОЯСНОЙ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕННОЙ КОЖИ,,,,49801.857956,,39689.14,,47149.29,47348.46,,47547.24,75334.0,41980.0,,38450.84
СОСУДОРАСШИРЯЮЩИЕ И СПАЗМОЛИТИЧЕСКИЕ ПРЕПАРАТЫ (за 10 таблеток),,,,1042.9285777569976,,867.2866666666666,,948.0,919.4,,913.0,1330.0,977.1666666666667,,1040.4666666666667
"ПРЕПАРАТЫ, УЛУЧШАЮЩИЕ МОЗГОВОЕ КРОВООБРАЩЕНИЕ (за 10 таблеток)",,,,582.7029299669882,,328.53333333333336,,316.0,633.1,,501.0,819.0,393.46666666666664,,819.6
ДИУРЕТИЧЕСКИЕ ПРЕПАРАТЫ (за 10 таблеток),,,,1196.425759151424,,1189.6266666666668,,1399.0,829.08,,1388.0,731.0,576.4666666666666,,2900.24
ТРАНКВИЛИЗАТОРЫ (за 10 таблеток),,,,1910.5571528692801,,1763.6266666666666,,1438.0,1486.5,,2058.0,1287.0,1552.6666666666667,,4714.466666666666
НЕНАРКОТИЧЕСКИЕ АНАЛЬГЕТИКИ (за 10 таблеток),,,,617.071717601054,,662.8,,593.0,539.5,,679.0,600.0,597.2,,692.28
АНТИБИОТИКИ (за 10 таблеток),,,,1434.2749880751667,,998.4666666666666,,931.0,1012.0,,1123.0,1831.0,937.6,,2871.7333333333336
ВИТАМИНЫ (за 10 таблеток),,,,1102.1853067161608,,831.8666666666666,,1404.0,865.2,,990.0,1072.0,657.1,,1966.4533333333334
АНТИСЕПТИЧЕСКИЕ СРЕДСТВА (за 10 мл),,,,1610.2862096976048,,1343.6,,1618.0,1820.7,,1503.0,1778.0,1587.3333333333335,,1377.0133333333333
ГОРЧИЧНИКИ (за 10 шт),,,,2003.2480875400838,,2215.0666666666666,,1495.0,1565.6,,2730.0,1516.0,2260.666666666667,,3060.0
ВАТА (за 50 г),,,,4109.833300274388,,3370.533333333333,,4265.0,3626.2,,5314.0,4255.0,4862.55,,3263.2666666666664
ЛЕЙКОПЛАСТЫРЬ (за упаковку размером 3 см  х 5 м),,,,5265.092284042447,,3846.75,,6519.0,5085.0,,5344.0,5076.0,4722.5,,6573.6
БИНТ (за упаковку размером 5 см х 10 м),,,,2089.749684,,1938.22,,2134.34,2084.54,,2396.71,2075.0,2424.0,,1530.32
ОЧКИ И ОПРАВЫ,,,,54476.58734,,41126.58,,42472.79,31041.46,,41542.48,85240.0,66615.0,,61152.4
АВТОМОБИЛЬ ЛЕГКОВОЙ,,,,109353829.81487788,,,,,124058080.0,,119060000.0,121219880.0,,,60555466.440000005
ВЕЛОСИПЕД ,,,,786782.480434,,792712.86,,737688.64,709052.12,,688681.32,979625.0,746442.0,,761342.2
МОТОЦИКЛ,,,,10685174.037900876,,,,,,,,10374833.0,,,11206450.0
БЕНЗИН АВТОМОБИЛЬНЫЙ (за 1 л),,,,4596.2415599999995,,4602.96,,4619.7,4478.4,,4654.05,4578.0,4640.0,,4633.6
ТОПЛИВО ДИЗЕЛЬНОЕ (л),,,,4859.440128000001,,4860.0,,4855.68,4860.0,,4860.0,4860.0,4860.0,,4860.0
МОЮЩИЕ СРЕДСТВА ПО УХОДУ ЗА АВТОМОБИЛЯМИ (л),,,,31427.259814,,27719.22,,44988.41,21163.4,,19685.97,41116.0,31929.0,,29005.16
ЕЖЕДНЕВНАЯ ГАЗЕТА ,,,,837.079666,,931.46,,784.57,719.64,,994.33,846.0,750.0,,874.16
ЕЖЕНЕДЕЛЬНАЯ ГАЗЕТА  ,,,,1806.5389880000002,,1620.3,,1764.45,1869.58,,2088.31,2191.0,1736.0,,1179.32
ЕЖЕМЕСЯЧНЫЙ ЖУРНАЛ ,,,,6107.497069999999,,5385.44,,6693.32,5296.22,,5311.47,9263.0,4825.0,,4587.04
ЧАСЫ,,,,113973.905958,,85807.84,,81672.55,85668.74,,74881.53,227518.0,101513.0,,87401.68
МЫЛО ХОЗЯЙСТВЕННОЕ (за 400 г),,,,4413.805896,,4013.56,,4467.28,3648.08,,5029.11,4501.0,4918.0,,4470.32
СИНТЕТИЧЕСКИЕ МОЮЩИЕ СРЕДСТВА    (за 500 г),,,,10819.926272,,9857.04,,11279.75,9377.32,,8537.57,11476.0,13467.0,,11128.16
КРЕМ ДЛЯ ОБУВИ  (за 75 г),,,,7091.855958,,5087.76,,5825.87,6393.3,,5076.54,11017.0,5570.0,,9359.92
КРАСКА ПОЛОВАЯ И ПРОЧАЯ (за 1 кг),,,,24888.172710000003,,24478.44,,23587.08,28933.62,,18404.23,25504.0,27814.0,,23061.72
ЛАК ДЛЯ ПАРКЕТА И ПРОЧИЙ (за 1 кг),,,,34714.12454600001,,30476.12,,44272.32,44884.58,,17108.99,38862.0,27107.0,,36151.08
ТОВАРЫ ХОЗЯЙСТВЕННЫЕ  ИЗ ПЛАСТМАССЫ И МЕТАЛЛА,,,,31453.370185999996,,34133.26,,28114.28,28311.0,,29371.3,39476.0,26485.0,,30936.04
КАРНИЗЫ,,,,105468.67561800001,,94866.74,,68941.0,73967.2,,75032.11,163958.0,122151.0,,111499.6
ЗАМКИ ВРЕЗНЫЕ И НАКЛАДНЫЕ,,,,48933.219465999995,,45707.78,,39292.19,50360.28,,45660.33,45276.0,69522.0,,44622.96
ЮВЕЛИРНЫЕ ИЗДЕЛИЯ ИЗ ЗОЛОТА  (за 1г),,,,429845.53946599993,,417256.74,,420709.41,382725.88,,454589.34,424396.0,436216.0,,494938.16
ФОТОАППАРАТ,,,,523474.71228133445,,418167.0,,1226254.38,121960.0,,,98699.0,1124118.0,,329379.44
ФОТОКАМЕРА  ЦИФРОВАЯ ,,,,1219498.8558640003,,1099319.08,,1054957.51,1186356.04,,1266392.07,1374834.0,1296490.0,,1195248.52
ИГРУШКИ,,,,53166.50730799999,,37519.0,,53273.54,33539.16,,38867.52,106464.0,32043.0,,50854.48
АППАРАТ  ТЕЛЕФОННЫЙ ,,,,171746.761422,,241302.66,,167964.51,130563.96,,120654.31,200833.0,175216.0,,137838.88
КОЛЯСКА  ДЕТСКАЯ ,,,,1361328.2505219998,,1073395.16,,1017621.95,1520595.3,,1176822.79,1811911.0,1336726.0,,1362726.4
ЗОНТ,,,,107599.42391399998,,83250.78,,90953.45,95439.96,,73405.12,178852.0,91639.0,,108053.88
ТЕЛЕФОН НЫЙ АППАРАТ СОТОВОЙ СВЯЗИ ,,,,951840.9070319999,,782948.46,,1116911.15,1050463.74,,818111.27,1062208.0,1069498.0,,645181.64
ТЕТРАДЬ (в пересчете за 12 листов),,,,548.567336,,545.8,,546.86,476.4,,579.5,790.0,391.0,,418.0
РУЧКА ШАРИКОВАЯ,,,,1522.3772339999998,,1249.98,,1386.99,1270.44,,1425.12,2204.0,1427.0,,1429.48
ШАМПУНЬ  (за 250 мл),,,,11906.131034,,9964.94,,9643.5,10237.16,,9639.43,17947.0,12940.0,,9864.04
ЗУБНАЯ ПАСТА  (за 75 г),,,,6508.653319999999,,5722.54,,4702.48,5207.1,,4609.91,11314.0,5940.0,,5787.72
МЫЛО ТУАЛЕТНОЕ  (за 150 г),,,,5790.228606,,5338.96,,5674.46,4358.9,,5598.06,7836.0,5327.0,,5736.96
КРЕМ ДЛЯ ЛИЦА  (за 100 г),,,,24482.083378,,14195.48,,20086.27,18286.26,,21605.1,48682.0,20447.0,,18169.32
ДЕЗОДОРАНТ  (за 110 мл),,,,17903.009634,,18225.44,,15830.88,16150.06,,16049.92,20586.0,18389.0,,18806.04
ЛЕЗВИЯ ДЛЯ БРИТВЫ (за блок из 10 лезвий),,,,9754.327702,,7968.3,,8689.81,10054.04,,9132.35,12243.0,11005.0,,7647.64
ЩЕТКА ЗУБНАЯ ,,,,8264.176162,,4466.82,,5635.71,4884.32,,4977.61,21610.0,5405.0,,5050.72
ТУАЛЕТНАЯ ВОДА (за 100 мл),,,,118363.179442,,48553.32,,53545.61,52335.02,,72411.86,370080.0,56568.0,,70104.72
"ГУБНАЯ ПОМАДА (за 4,3-4,8 г)",,,,11770.456784,,8049.96,,10320.35,13547.32,,9535.54,16613.0,10447.0,,11599.84
"ЛАК ДЛЯ ВОЛОС (за 250 мл), БАЛЬЗАМ ДЛЯ ВОЛОС             (за 250 мл)",,,,16759.689403999997,,11874.6,,12125.6,13543.36,,13252.2,30098.0,13934.0,,17165.36
МАШИНА ШВЕЙНАЯ,,,,1787317.235814,,1562704.74,,1570565.45,1661298.48,,2218348.05,2430920.0,1474750.0,,1387771.44
ЦВЕТЫ (за 1 шт),,,,14185.990918,,10895.28,,18240.83,12355.46,,13733.52,13818.0,16369.0,,14472.56
ДРОВА (за 1 м3),,,,29186.893799999998,,25000.0,,36000.0,35714.0,,23600.0,18000.0,45000.0,,22000.0
ТОРФ  (за 1 т),,,,104251.8,,120000.0,,105000.0,105000.0,0.0,105000.0,75000.0,124000.0,0.0,105000.0
КАРТРИДЖ ДЛЯ ОЧИСТКИ ВОДЫ,,,,43140.866984,,42275.36,,50973.76,27610.52,,38469.23,63394.0,40775.0,,29517.8
СПИЧКИ (за 1 коробок),,,,103.731338,,104.0,,108.0,93.98,,103.31,103.0,108.0,,107.52
