,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
"ВЕРМИШЕЛЬ, ЛАПША",,,,2864.6143180000004,,2870.94,,2769.32,,2565.0,,2716.76,,3062.0,3006.0,,2798.83
ВОДКА ,,,,15111.941138000002,,15070.74,,14931.24,,15240.0,,14660.0,,15240.0,15176.0,,15240.0
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,21289.420986,,21239.54,,16562.08,,14314.04,,23408.28,,24030.0,23811.0,,23176.89
КОНЬЯК,,,,54597.197136,,55929.14,,50956.32,,48613.04,,51042.97,,64082.0,48271.0,,53355.37
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,16124.447614000004,,13277.72,,15736.4,,13557.26,,13034.0,,21512.0,15129.0,,14205.58
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,16541.436952000004,,12541.04,,16006.2,,13290.02,,13116.07,,22815.0,14303.0,,17029.86
ПИВО,,,,3082.502246,,2847.3,,2774.12,,2987.78,,3305.01,,3463.0,2878.0,,2944.6
ВИНО ИГРИСТОЕ  (ШАМПАНСКОЕ),,,,15594.602304,,15759.16,,15279.28,,15198.94,,15482.87,,15874.0,15435.0,,15903.71
ВАФЛИ,,,,9044.179096000002,,9015.86,,9054.68,,8988.74,,9062.68,,9016.0,9375.0,,8711.26
ПРЯНИКИ,,,,6486.762618000001,,5852.18,,6552.92,,6402.62,,5702.27,,6490.0,7346.0,,6865.49
ПЕЧЕНЬЕ ,,,,6837.439664,,6462.68,,7053.32,,6227.52,,6855.4,,6966.0,7500.0,,6552.54
ТОРТ,,,,15876.905060000001,,14082.66,,15960.52,,17934.26,,15966.62,,16155.0,14544.0,,16432.99
ПИРОЖНЫЕ (за 1 шт. весом 100 г),,,,1428.5123440000002,,1391.48,,1313.48,,1562.54,,1397.11,,1445.0,1486.0,,1334.69
ИРИС,,,,7397.146970000002,,6982.34,,7217.8,,7523.0,,7216.32,,7810.0,7344.0,,7149.57
" КОНФЕТЫ ""КАРАМЕЛЬ""",,,,6793.293852000001,,6744.18,,7413.2,,6127.04,,6372.25,,6204.0,7900.0,,7374.75
КОНФЕТЫ ГЛАЗИРОВАННЫЕ ШОКОЛАДНОЙ ГЛАЗУРЬЮ,,,,15898.751532,,15003.78,,17038.08,,14416.82,,16261.78,,16050.0,16545.0,,15976.23
"КОНФЕТЫ ГЛАЗИРОВАННЫЕ ЖИРОВОЙ   ГЛАЗУРЬЮ (типа ""Лимонные"", ""Осенние"")",,,,8246.093972,,8435.36,,8458.48,,8663.18,,8363.89,,7473.0,8579.0,,8607.94
