,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
ЗУБНАЯ ПАСТА  (за 75 г),,,,2455.0779060000004,,2000.3,,1817.04,,2399.6,,1821.32,,3497.0,2114.0,,2282.28
МЫЛО ТУАЛЕТНОЕ  (за 150 г),,,,2090.7818760000005,,1646.62,,2016.96,,1755.1,,1940.16,,2642.0,1936.0,,2133.17
КРЕМ ДЛЯ ЛИЦА  (за 100 г),,,,12421.577642000002,,7440.7,,12139.24,,7701.92,,11175.66,,21194.0,9308.0,,8343.6
ДЕЗОДОРАНТ  (за 110 мл),,,,7242.553378000001,,6515.56,,6744.88,,6159.9,,6934.3,,8314.0,8069.0,,6503.24
ЛЕЗВИЯ ДЛЯ БРИТВЫ (за блок из 10 лезвий),,,,3100.4147640000006,,3241.28,,2996.52,,3340.7,,3138.57,,3116.0,2954.0,,2855.54
ЩЕТКА ЗУБНАЯ ,,,,3552.1102180000003,,2459.72,,2539.16,,2386.7,,2169.2,,6366.0,2648.0,,3084.29
ТУАЛЕТНАЯ ВОДА (за 100 мл),,,,50533.03327000001,,21678.82,,27730.64,,19915.98,,40048.69,,115804.0,27394.0,,29082.02
"ГУБНАЯ ПОМАДА (за 4,3-4,8 г)",,,,6034.969554,,5184.32,,5501.52,,5656.82,,5303.26,,7605.0,5722.0,,5355.77
"ЛАК ДЛЯ ВОЛОС (за 250 мл), БАЛЬЗАМ ДЛЯ ВОЛОС             (за 250 мл)",,,,6223.039646000001,,4517.1,,4717.8,,4056.94,,5161.09,,9811.0,4914.0,,6691.3
ШВЕЙНАЯ МАШИНА,,,,651539.9703000002,,539360.52,,640614.24,,644867.14,,529134.25,,803220.0,598679.0,,623051.2
ЦВЕТЫ (за 1 шт),,,,6294.126898000001,,5416.26,,6067.96,,4921.64,,6420.64,,6591.0,6793.0,,7873.6
ДРОВА (за 1 м3),,,,18019.71,,15200.0,,23000.0,,23000.0,,15000.0,,15000.0,21500.0,,15000.0
ТОРФ  (за 1 т),,,,65641.5,,70000.0,,65000.0,0.0,65000.0,0.0,65000.0,0.0,65000.0,65000.0,0.0,65000.0
КАРТРИДЖ ДЛЯ ОЧИСТКИ ВОДЫ,,,,15829.321116000001,,15662.36,,13848.96,,13670.22,,17465.45,,18722.0,12538.0,,16836.5
СПИЧКИ (за 1 коробок),,,,48.792712000000016,,50.0,,49.28,,50.0,,50.0,,48.0,46.0,,50.0
