,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
"СИГАРЕТЫ   С   ФИЛЬТРОМ    ИМПОРТНЫЕ                                 (за 1 пачку, 20 штук)",,,,8161.086684699519,,6023.84,,5949.87,8495.0,,8136.52,,9929.0,,,10000.0
МАЙОНЕЗ,,,,13858.117538,,13229.22,,15591.24,10636.48,,15128.91,,13441.0,13036.0,,17480.6
УКСУС ,,,,5299.325452,,5148.5,,5031.88,5924.7,,4940.37,,5100.0,4988.0,,6060.64
ГОРЧИЦА ПИЩЕВАЯ (за 100 г),,,,1794.96629,,1572.06,,1959.4,1664.56,,1671.99,,2066.0,1706.0,,1847.88
СОДА ПИЩЕВАЯ,,,,10974.304493999998,,9135.42,,8866.73,13660.68,,9783.08,,11132.0,11518.0,,12357.28
ЖЕВАТЕЛЬНАЯ  РЕЗИНКА  (за упаковку 10 штук),,,,2429.916146,,2436.34,,2481.11,2267.52,,2438.98,,2469.0,2516.0,,2391.56
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,
ТКАНЬ ХЛОПЧАТОБУМАЖНАЯ  ПЛАТЕЛЬНАЯ (за 1 м)  ,,,,7508.40637,,7815.82,,7122.7,6543.64,,6497.85,,8903.0,6448.0,,8844.16
ТКАНЬ ШЕРСТЯНАЯ И ПОЛУШЕРСТЯНАЯ (за 1 м),,,,27304.331421999996,,25802.64,,27690.2,27231.5,,25733.64,,33033.0,21541.0,,28293.8
ТКАНЬ  ЛЬНЯНАЯ  (за 1 м),,,,13199.464594,,11820.94,,10357.89,15058.36,,11075.5,,15816.0,12963.0,,13705.44
ТКАНЬ ШЕЛКОВАЯ  (за 1 м),,,,16590.919778,,10459.7,,15690.85,16598.6,,13319.75,,21736.0,18632.0,,17352.24
ПРЯЖА ШЕРСТЯНАЯ ИЛИ ПОЛУШЕРСТЯНАЯ (за 100 г),,,,13062.601036,,14552.66,,10330.52,10047.78,,8327.23,,18199.0,12642.0,,14754.12
КУРТКА ЗИМНЯЯ МУЖСКАЯ  ,,,,307376.5891089109,,323140.0,,,,,267024.5,,,346950.0,,275280.0
ПАЛЬТО ДЕМИСЕЗОННОЕ МУЖСКОЕ,,,,355216.65307599993,,349356.8,,362299.1,429312.0,,336553.77,,416213.0,234000.0,,330517.8
КУРТКА   ИЗ ПЛАЩЕВОЙ ТКАНИ МУЖСКАЯ  ,,,,205700.06009,,165958.5,,206289.23,182133.88,,164444.87,,287097.0,193071.0,,207040.0
КОСТЮМ МУЖСКОЙ,,,,333621.47531,,299348.86,,317431.1,292262.28,,318443.93,,403182.0,336962.0,,343861.6
ДЖИНСЫ МУЖСКИЕ,,,,144136.43275,,131928.2,,112491.13,130202.7,,153441.23,,160299.0,166000.0,,149046.84
БРЮКИ МУЖСКИЕ     ,,,,101475.526816,,80605.94,,117828.29,80693.82,,106181.38,,111111.0,106534.0,,109800.12
СОРОЧКА МУЖСКАЯ,,,,60754.067988,,52427.68,,59699.28,50558.72,,59920.47,,71798.0,63497.0,,64728.8
КОСТЮМ СПОРТИВНЫЙ МУЖСКОЙ ,,,,153089.41614199997,,122961.22,,137956.85,121278.12,,112896.32,,221338.0,186929.0,,131325.16
