,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
КРУПА ПЕРЛОВАЯ,,,,1421.1342700000002,,1413.42,,1316.64,,1543.3,,1436.55,,1476.0,,1334.0,,1357.59
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,12917.144396,,11601.64,,11397.48,,11306.46,,11386.31,,16576.0,,11526.0,,12580.64
"ГОРОХ, ФАСОЛЬ",,,,2667.1650420000005,,2213.76,,2170.2,,2359.24,,2466.43,,3070.0,,3381.0,,2341.4
МЮСЛИ И ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП,,,,10293.113894,,9460.84,,11695.32,,8746.84,,9009.61,,11725.0,,8461.0,,12059.87
"МАКАРОНЫ, РОЖКИ",,,,2745.7489280000004,,2955.4,,2990.48,,2596.68,,2728.34,,2597.0,,2850.0,,2648.01
"ВЕРМИШЕЛЬ, ЛАПША",,,,2882.132074,,2859.76,,2801.48,,2576.22,,2723.66,,3107.0,,2984.0,,2841.29
ВОДКА ,,,,15111.347138000001,,15070.74,,14931.24,,15240.0,,14660.0,,15240.0,,15172.0,,15240.0
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,21537.040242000003,,21707.46,,17004.48,,14411.44,,23713.22,,24183.0,,24031.0,,23348.25
КОНЬЯК,,,,54104.35594800001,,53441.26,,50484.92,,49187.76,,51218.33,,64851.0,,45819.0,,52827.92
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,16039.640846000002,,13430.42,,15259.76,,13790.1,,13042.97,,21278.0,,14977.0,,14241.76
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,17201.257084000004,,12314.72,,15077.72,,13426.58,,13268.01,,25334.0,,14225.0,,18117.06
ПИВО,,,,3134.550196,,2941.84,,2778.4,,2990.16,,3318.8,,3520.0,,2956.0,,3053.41
ВИНО ИГРИСТОЕ  (ШАМПАНСКОЕ),,,,15612.114402000003,,15775.54,,15303.12,,15156.44,,15488.24,,15819.0,,15638.0,,15925.38
ВАФЛИ,,,,9171.452788000002,,9117.44,,9415.4,,9020.68,,9149.82,,9170.0,,9378.0,,8880.88
ПРЯНИКИ,,,,6616.835330000001,,5870.48,,6982.0,,6475.4,,5769.47,,6678.0,,7401.0,,6889.41
ПЕЧЕНЬЕ ,,,,6860.08884,,6501.62,,7030.92,,6296.8,,6832.63,,6966.0,,7576.0,,6572.1
ТОРТ,,,,16040.802852,,14325.42,,16118.08,,18051.18,,16145.32,,16299.0,,14712.0,,16597.97
ПИРОЖНЫЕ (за 1 шт. весом 100 г),,,,1471.25691,,1418.06,,1369.76,,1569.9,,1399.35,,1535.0,,1545.0,,1324.09
ИРИС,,,,7413.049538,,6997.18,,7103.4,,7711.66,,7348.27,,7661.0,,7464.0,,7245.24
" КОНФЕТЫ ""КАРАМЕЛЬ""",,,,6929.4827700000005,,6747.7,,7639.72,,6276.7,,6547.99,,6352.0,,7966.0,,7587.27
КОНФЕТЫ ГЛАЗИРОВАННЫЕ ШОКОЛАДНОЙ ГЛАЗУРЬЮ,,,,16286.115916,,15699.4,,17520.0,,14849.24,,16667.88,,16260.0,,16759.0,,16500.36
"КОНФЕТЫ ГЛАЗИРОВАННЫЕ ЖИРОВОЙ   ГЛАЗУРЬЮ (типа ""Лимонные"", ""Осенние"")",,,,8515.257988000003,,8780.68,,8841.48,,8884.24,,8459.8,,7779.0,,8752.0,,8935.77
ШОКОЛАД,,,,29774.053336,,28717.24,,28948.08,,29141.08,,28718.48,,31040.0,,30106.0,,30219.7
ХАЛВА,,,,8315.547154000002,,7843.48,,8156.8,,7384.5,,7491.54,,9711.0,,7940.0,,8103.86
МАРМЕЛАД,,,,7118.834764,,6664.12,,7362.44,,7585.86,,6464.77,,6882.0,,7260.0,,7869.88
ЗЕФИР,,,,8938.745432000002,,11187.32,,8358.56,,7877.22,,8707.03,,9218.0,,8127.0,,8888.06
КАКАО - ПОРОШОК (за 200 г),,,,3899.4687620000004,,3316.5,,3663.72,,4562.34,,3709.01,,4343.0,,3175.0,,4125.62
КАРТОФЕЛЬ,,,,1268.9914820000001,,1123.04,,1160.48,,1163.66,,1114.24,,1505.0,,1265.0,,1270.74
ЧИПСЫ  КАРТОФЕЛЬНЫЕ (за 100 г),,,,2732.9121640000008,,2951.14,,2865.88,,2368.08,,2974.15,,2661.0,,2563.0,,2979.22
КАПУСТА  БЕЛОКОЧАННАЯ  СВЕЖАЯ,,,,1910.13144,,1875.7,,2025.12,,1850.18,,1872.94,,2038.0,,1472.0,,2247.59
ЛУК РЕПЧАТЫЙ,,,,2617.9146480000004,,2670.44,,2131.68,,2313.3,,2724.45,,3058.0,,2273.0,,2773.77
СВЕКЛА,,,,1134.166204,,1174.46,,1072.0,,1133.06,,976.52,,1328.0,,974.0,,1048.3
МОРКОВЬ,,,,1626.81346,,1557.98,,1656.16,,1702.9,,1349.2,,1811.0,,1568.0,,1469.16
ПОМИДОРЫ СВЕЖИЕ,,,,8433.962852000002,,8479.22,,7487.72,,7824.02,,8736.48,,8813.0,,8850.0,,8385.34
ОГУРЦЫ СВЕЖИЕ,,,,6329.34197,,6442.5,,6475.2,,6306.78,,6443.49,,6410.0,,6135.0,,6003.28
ЧЕСНОК,,,,9996.573486000001,,9313.42,,9982.56,,10208.6,,9691.48,,10196.0,,10055.0,,10302.45
ПЕРЕЦ СЛАДКИЙ,,,,12077.726696,,11653.62,,12892.52,,11823.14,,14966.08,,9967.0,,10852.0,,16342.59
ОВОЩИ ЗАМОРОЖЕННЫЕ,,,,9376.687298000003,,9096.74,,8251.96,,9165.54,,8465.55,,10605.0,,9731.0,,8536.57
ОВОЩИ КОНСЕРВИРОВАННЫЕ,,,,4817.8424620000005,,3849.2,,4724.64,,4534.56,,3938.71,,4752.0,,5796.0,,6176.06
СОУС ТОМАТНЫЙ,,,,5623.962956000001,,5615.38,,5480.28,,5532.22,,5402.86,,5153.0,,6594.0,,5959.02
ЯБЛОКИ,,,,3541.2462320000004,,3101.3,,3982.44,,3274.6,,3471.87,,3587.0,,3572.0,,3849.41
"ЦИТРУСОВЫЕ ПЛОДЫ (апельсины, лимоны, мандарины)",,,,5425.677570000001,,5261.18,,4981.76,,5279.5,,6115.01,,5312.0,,5900.0,,5238.4
ВИНОГРАД,,,,12474.434410000003,,12176.26,,14316.88,,12269.66,,14055.97,,10429.0,,13478.0,,13219.47
БАНАНЫ,,,,4782.27893,,4654.02,,4688.0,,4651.6,,4893.2,,4865.0,,4789.0,,4889.92
СУХОФРУКТЫ,,,,12586.861696000004,,9887.0,,12231.76,,11991.28,,13133.84,,12919.0,,14254.0,,13345.39
ОРЕХИ,,,,16916.906980000003,,11730.34,,17393.04,,16360.22,,11422.78,,20507.0,,17180.0,,19582.51
ФРУКТЫ КОНСЕРВИРОВАННЫЕ,,,,8464.444178000002,,7407.04,,8858.96,,7981.04,,8526.47,,8809.0,,8792.0,,8549.55
КОНСЕРВЫ  ФРУКТОВЫЕ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО  ПИТАНИЯ,,,,8002.1457439999995,,7686.06,,8464.16,,7310.34,,7108.76,,8354.0,,8460.0,,8121.71
"СОК, НЕКТАР ФРУКТОВЫЙ,  ЯГОДНЫЙ",,,,3613.6188060000004,,3327.44,,3497.84,,3570.58,,3377.22,,4048.0,,3465.0,,3496.49
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ ,,,,1725.663142,,1585.38,,1561.32,,1449.22,,1928.41,,1986.0,,1751.0,,1540.07
ВОДА МИНЕРАЛЬНАЯ ,,,,1057.032942,,1033.76,,1107.88,,1055.74,,1113.46,,1025.0,,1057.0,,1054.61
