,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
СЫР ПЛАВЛЕНЫЙ,,,,69647.218376,,70827.88,,73498.76,,73000.11,,60423.44,,73171,,67697,,62871.4
"СЫР РАССОЛЬНЫЙ (БРЫНЗА, СУЛУГУНИ И ПРОЧИЕ)",,,,96716.26035599998,,92220.6,,98173.94,,99423.82,,88380.24,,89582,,107395,,108876.70000000001
МАСЛО ЖИВОТНОЕ,,,,93379.95707599999,,90243.84,,92987.48999999999,,94727.48000000001,,89972.9,,97042,,88364,,97357.54999999999
МАСЛО РАСТИТЕЛЬНОЕ (кроме оливкового),,,,26958.952108,,25658.96,,26243.389999999996,,26993.260000000002,,26990.300000000003,,28717,,26001,,26148.5
МАСЛО ОЛИВКОВОЕ,,,,149862.367772,,145117.96,,173524.28,,145260.33000000002,,146618.52000000002,,143124,,155727,,146754.7
МАРГАРИН,,,,36598.436952,,34222.4,,33372.53,,33228.76,,35364.86,,39122,,39793,,37816.2
ЖИР ЖИВОТНЫЙ,,,,15387.239451999998,,18220.32,,11790.3,,12192.97,,18860.760000000002,,17321,,15808,,10925.2
ЯЙЦА  КУРИНЫЕ (за 10 шт.),,,,16469.129604,,16616.72,,17369.629999999997,,15506.79,,15780.060000000001,,17225,,16928,,14616.7
САХАР-ПЕСОК,,,,13446.174056000002,,13344.2,,13400.98,,13663.02,,13455.14,,13742,,13139,,13010.300000000001
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,256512.685412,,283191.68,,221192.9,,240150.88,,249494.88,,250763,,308397,,233001.6
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ,,,,212125.10452000002,,218019.36000000002,,228732.26,,192216.22,,219949.36,,196190,,228578,,220781.9
КОФЕ РАСТВОРИМЫЙ,,,,502985.98628,,521654.6,,505979.43999999994,,496783.53,,470204.62,,483720,,524395,,538362.9
МЁД  НАТУРАЛЬНЫЙ,,,,95711.22084,,86408.4,,93420.63,,100648.85,,91013.1,,108375,,87637,,87286.55
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,3903.8570519999994,,4055.8799999999997,,3831.42,,3842.89,,3851.5200000000004,,4187,,3357,,3996.25
МУКА ПШЕНИЧНАЯ ,,,,8624.000668,,8705.36,,8286.93,,8505.82,,8620.34,,9002,,8473,,8312.75
"ХЛЕБ РЖАНОЙ,РЖАНО-ПШЕНИЧНЫЙ",,,,12199.524708,,12241.560000000001,,13908.519999999999,,12379.119999999999,,10719.34,,12313,,11103,,12808.6
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,18732.649999999998,,17923.92,,15888.64,,19087.36,,17016.9,,20878,,18689,,18890.15
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,13485.73262,,13392.32,,15321.099999999999,,13576.83,,15858.28,,13225,,11397,,12538
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,29245.741984,,38225.28,,20980.44,,34201.07,,24992.06,,23675,,34542,,32519.1
"СУХАРИ, СУШКИ, БАРАНКИ",,,,41146.942048000004,,36099.44,,38670.439999999995,,43154.520000000004,,37367.68,,44063,,44412,,39338.65
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,20222.920599999998,,19952.72,,20300.93,,19694.760000000002,,19889.2,,20267,,20745,,20641.1
КРУПА МАННАЯ,,,,11641.689159999998,,10268.560000000001,,11370.56,,13039.060000000001,,10428.52,,12487,,11001,,11849.85
КРУПА ПШЕННАЯ,,,,13910.580088,,12558.080000000002,,13782.11,,15012.95,,12936.12,,14895,,13605,,13214.099999999999
КРУПА ГРЕЧНЕВАЯ,,,,21857.376803999996,,20815.8,,22429.949999999997,,22212.82,,18601.72,,24383,,20835,,20423.4
 ХЛОПЬЯ  ОВСЯНЫЕ,,,,14770.6686,,13836.12,,16291.169999999998,,13289.38,,14838.080000000002,,15458,,14409,,14776.900000000001
ХЛОПЬЯ КУКУРУЗНЫЕ ,,,,52261.790464,,50290.36,,48237.49999999999,,47612.37,,52112.8,,58414,,50476,,52257.05
КРУПА ПЕРЛОВАЯ,,,,8901.612360000001,,8516.04,,8142.639999999999,,9846.04,,8308.880000000001,,9151,,8535,,9535.1
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,84446.0665,,82099.24,,85103.18,,68729.29000000001,,75388.18000000001,,98392,,88467,,74864.54999999999
"ГОРОХ, ФАСОЛЬ",,,,21311.513252,,23643.839999999997,,23638.789999999997,,19058.25,,21001.04,,20749,,20885,,21102.15
МЮСЛИ И ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП,,,,74880.291624,,74025.36,,84393.95,,58813.490000000005,,69344.78,,87152,,65493,,73712.6
"МАКАРОНЫ, РОЖКИ",,,,14114.934808000002,,13297.519999999999,,12624.96,,12145.8,,15821.940000000002,,14780,,15497,,13880.35
"ВЕРМИШЕЛЬ, ЛАПША",,,,14456.225888,,14271.36,,14986.15,,12033.89,,15873.62,,15189,,14651,,13554.75
ВОДКА ,,,,130066.79620800001,,133146.08,,128903.68,,123729.13,,126903.54000000001,,130346,,135698,,130392.95
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,143560.011212,,146717.32,,140736.64,,142411.99,,148779.64,,139436,,147415,,143966.1
КОНЬЯК,,,,319825.32498800004,,288327.04,,362980.42,,284093.79,,312537.96,,355514,,306266,,290546.65
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,92382.70408,,79910.88,,86436.82999999999,,86093.45,,84409.64000000001,,116197,,81554,,85409.5
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,90229.70689999999,,81275.08,,98054.35999999999,,57196.54,,61013.700000000004,,135616,,71326,,76500.35
ПИВО,,,,23644.13262,,22484.280000000002,,22287.909999999996,,21746.29,,24570.5,,25529,,23645,,23260.35
ВИНО ИГРИСТОЕ  (ШАМПАНСКОЕ),,,,75562.61689599999,,73240.16,,77582.36,,73745.61,,74327.78,,78937,,76468,,69732.1
ВАФЛИ,,,,52841.321727999995,,50163.479999999996,,53150.229999999996,,50427.54,,54180.78,,54699,,54414,,50427.6
ПРЯНИКИ,,,,39491.50268,,34486.48,,36827.119999999995,,39170.409999999996,,34808.78,,45562,,38191,,40317.25
ПЕЧЕНЬЕ ,,,,40445.77189999999,,38047.6,,39155.45,,39739.06,,42052.740000000005,,42163,,39724,,40709.6
ТОРТ,,,,90436.87254400001,,86440.48,,89407.28,,98741.31,,81732.32,,98729,,80847,,87388.15
ПИРОЖНЫЕ (за 1 шт. весом 100 г),,,,8819.787944,,8042.5599999999995,,7690.58,,10124.83,,8164.84,,9929,,8133,,8196.45
